schema,KPI_Label,Formula,KPI_Name,Properties_Key,report_name,Schema_Original,Description
apn,PDP Contexts Currently Facilitated By Entire System,(%sess-curr-all%),kpi_PDP_Contexts_Currently_Facilitated_By_Entire_System,wrnApnAggPDPContextStats,StarOS APN Aggregate PDP Contexts Statistics,APN,PDP Contexts Currently Facilitated By Entire System
apn,Total PDP Contexts Facilitated By APN,(%sess-tot%),kpi_Total_PDP_Contexts_Facilitated_By_APN,wrnApnAggPDPContextStats,StarOS APN Aggregate PDP Contexts Statistics,APN,Total PDP Contexts Facilitated By APN
apn,Total PDP Contexts Facilitated By Entire System,(%sess-tot-all%),kpi_Total_PDP_Contexts_Facilitated_By_Entire_System,wrnApnAggPDPContextStats,StarOS APN Aggregate PDP Contexts Statistics,APN,Total PDP Contexts Facilitated By Entire System
apn,GGSN Current Number of  PDP per System,(%sess-curr-all%),kpi_GGSN_Current_Number_of_PDP_per_System,wrnApnAggPDPContextStats,StarOS APN Aggregate PDP Contexts Statistics,APN,GGSN Current Number of  PDP per System
apn,GGSN Total Number of  PDP per System,(%sess-tot-all%),kpi_GGSN_Total_Number_of_PDP_per_System,wrnApnAggPDPContextStats,StarOS APN Aggregate PDP Contexts Statistics,APN,GGSN Total Number of  PDP per System
apn,APN Internet/PDN On Gi Interface Packets with Interactive QOS Priority 1 Sent,(%qosint1-pkts-uplnk%),kpi_APN_Internet_PDN_On_Gi_Interface_Packets_with_Interactive_QOS_Priority_1_Sent,wrnApnAggQosPrioritySent,StarOS APN Aggregate QOS Priority Sent Statistics,APN,APN Internet/PDN On Gi Interface Packets with Interactive QOS Priority 1 Sent
apn,APN MS On GTP Interface Packets with Interactive QOS Priority 1 Sent,(%qosint1-pkts-dnlnk%),kpi_APN_MS_On_GTP_Interface_Packets_with_Interactive_QOS_Priority_1_Sent,wrnApnAggQosPrioritySent,StarOS APN Aggregate QOS Priority Sent Statistics,APN,APN MS On GTP Interface Packets with Interactive QOS Priority 1 Sent
apn,APN Internet/PDN On Gi Interface Packets with Interactive QOS Priority 2 Sent,(%qosint2-pkts-uplnk%),kpi_APN_Internet_PDN_On_Gi_Interface_Packets_with_Interactive_QOS_Priority_2_Sent,wrnApnAggQosPrioritySent,StarOS APN Aggregate QOS Priority Sent Statistics,APN,APN Internet/PDN On Gi Interface Packets with Interactive QOS Priority 2 Sent
apn,APN MS On GTP Interface Packets with Interactive QOS Priority 2 Sent,(%qosint2-pkts-dnlnk%),kpi_APN_MS_On_GTP_Interface_Packets_with_Interactive_QOS_Priority_2_Sent,wrnApnAggQosPrioritySent,StarOS APN Aggregate QOS Priority Sent Statistics,APN,APN MS On GTP Interface Packets with Interactive QOS Priority 2 Sent
apn,APN Internet/PDN On Gi Interface Packets with Interactive QOS All Priorities Sent,(%qosint-pkts-uplnk%),kpi_APN_Internet_PDN_On_Gi_Interface_Packets_with_Interactive_QOS_All_Priorities_Sent,wrnApnAggQosPrioritySent,StarOS APN Aggregate QOS Priority Sent Statistics,APN,APN Internet/PDN On Gi Interface Packets with Interactive QOS All Priorities Sent
